content,score
"cukup puas,lengkap dengan sinyal jaringan yang jelek pun aplikasi ini berjalan 10% stabil, gak beriklan,tdk ada bug & lelet sehingga cepat bertransaksi dan menjelajahi setiap detail dari menu""nya. Tapi disayangkan ada beberapa fitur-menu tsb gak terlalu dipahami/ kegunaannya atau maksudnya, tapi ada beberapa dr fitur fitur yang sering digunakan & hampir setiap waktu dpake misalnya pengisian data, transfer dr pengalaman semua sukses, gak suka pending, sobat"" jg bisa transfer tanpa ada biaya adm.",5
"cukup puas very nice.. bahkan dengan signal jaringan yang jelek, aplikasi ini berfungsi 8% stabil, enak gak beriklan, tdk ada bug & lemot sehingga cepat cepat bertransaksi dan menjelajahi setiap detail dari menu""nya. Namun sayang sekali ada beberapa fitur-fitur tsb gak terlalu dipahami/ kegunaannya, tapi ada beberapa dr fitur fitur yg sering digunakan & hampir setiap waktu dpake misalnya isi data, transfer dr pengalaman semua lancar, gak suka pending, sobat"" juga bisa transfer tanpa adm .",5
"Puas hanya dengan sinyal jaringan yang jeleklah, aplikasi ini berfungsi 8% stabil, enak gak beriklan, gak ada bug & lemot sehingga cepat bertransaksi dan menjelajahi setiap detail dari menu""nya. Namun disayangkan ada beberapa fitur-menu tsb gak terlalu dipahami/ kegunaannya atau maksudnya, tapi ada beberapa dr fitur fitur yang sering digunakan & hampir setiap waktu dpake misalnya pengisian data, transfer dr pengalaman semua lancar, gak suka pending, sobat"" jg bisa transfer tanpa biaya adm..",5
"puas mantap & super.. lancar jaya performanya nyaman gak beriklan, gak ada bug & lelet sehingga baik bertransaksi dan menjelajahi setiap detal dari menu"" nya. Namun disayangkan sekali ada beberapa fitur-menu tsb gak terlalu dipahami/ kegunaannya fungsi dan maksudnya, hanya ada beberapa dr fitur fitur yang sering digunakan & hampir setiap waktu dpake misalnya pengisian pulsa, bayar tagihan, transfer, dr pengalaman semua lancar, gak suka pending, teman"" jga bisa bebas biaya saat transfer oke",5
"cukup puas like it.. hanya dengan sinyal jaringan yang jelek, aplikasi ini berfungsi 8% stabil, enak gak beriklan, tdk ada bug & lemot sehingga cepat bertransaksi dan menjelajahi setiap detail dari menu""nya. Namun disayangkan ada beberapa fitur-menu tsb gak terlalu dipahami/ kegunaannya atau maksudnya, tapi ada beberapa dr fitur fitur yg sering digunakan & hampir sètiap waktu dpake misalnya isi data, transfer dr pengalaman semua lancar, gak suka pending, sobat"" jg bisa transfer tnpa admin.",5
"puas the best apk ini,,efektif & pokoknya untuk kinerjanya enak gak beriklan, gak ada bug & lemot sehingga suka bertransaksi dan menjelajahi setiap detail dari menu""nya. Tapi sangat disayangkan banget ada beberapa dr fitur-menu tsb gak terlalu dipahami/ kegunaan atau fungsinya, hanya ada beberapa dr fitur yang dipake & hampir setiap waktu dipake misalnya pengisian token listrik, transfer, dr pengalaman semua okelah, gak ada pending,sobat"" bisa bebas biaya pada saat transferannya",5
"puasnya walau dengan sinyal jaringan yang tidak baik, aplikasi ini berfungsi 99% stabil,lancar gak beriklan, tdk ada bug & lemot sehingga cepat bertransaksi dan menjelajahi setiap detail dari menunya. Namun disayangkan ada beberapa fitur-menu tsb gak terlalu dipahami/ kegunaannya atau maksudnya, tapi ada beberapa dr fitur fitur yang sering digunakan & hampir setiap waktu dpake misalnya pengisian data, transfer dr pengalaman semua lancar,tdk suka pending, friend"" jg bisa transfer tanpa biaya top.",5
"suka pakai shopeepay gratis biaya admin, gak ada bug, interface mudah. tpi tolong adain fitur split bill dong biar gampang kalau bayar sama temen temen dan adain fitur kantong kantong juga untuk memisahkan dana berbagai kebutuhan, seluruh dana selalu kusimpan di shopeepay soalnya. nanti ku tambahin bintangnya🤎",4
"puas the best apknya,,efektif dan luar biasa untuk kinerjanya enak gak beriklan, gak ada bug & lemot sehingga suka bertransaksi dan menjelajahi setiap detail dari menu""nya. Tapi sangat disayangkan banget ada beberapa dr fitur-menu tsb gak terlalu dipahami/ kegunaan atau fungsinya, hanya ada beberapa dr fitur yang dipake & hampir setiap waktu dipake misalnya pengisian token listrik, transfer, dr pengalaman semua lancar, gak ada pending, kawan"" bisa bebas biaya pada saat transferannya. ..",5
"cukup puas dari user interface mantap & tampilan visual lebih enak tdk beriklan, gak ada bug & lemot sehingga senang bertransaksi dan menjelajahi setiap detail dari menu""nya.Tapi disayangkanlah ada beberapa dr fitur-menu tsb gak terlalu dipahami/ kegunaan atau fungsinya, hanya ada beberapa dr fitur yang sering digunakan & hampir setiap waktu dpake misalnya pengisian token listrik, transfer, dr pengalaman semua okelah, gak suka pending,,teman"" bisa bebas biaya saat transfer uang.",5
